Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
0,00000305,false,Rx,0,7,EB,7F,00,07,39,00,C0,00,
0,0000030D,false,Rx,0,8,00,00,00,00,00,00,00,00,
0,0000034D,false,Rx,0,8,00,23,FA,FA,00,04,00,FF,
0,0000038D,false,Rx,0,7,00,00,00,00,AF,AA,37,00,
0,000003CD,false,Rx,0,8,FF,FB,00,00,00,22,90,FE,
0,00000208,false,Rx,0,8,00,00,32,00,0C,32,32,32,
0,00000348,false,Rx,0,8,00,32,34,32,C1,01,44,00,
0,000002F5,false,Rx,0,7,BA,00,00,FF,F9,00,00,00,
0,00000305,false,Rx,0,7,EB,7F,00,07,0A,00,C0,00,
0,000003CD,false,Rx,0,8,FF,FB,00,00,00,22,90,FE,
0,0000040D,false,Rx,0,8,00,00,00,00,00,00,00,05,
0,00000592,false,Rx,0,8,40,6A,00,2A,D0,11,4B,65,
0,000003F2,false,Rx,0,3,00,00,00,00,00,00,00,00,
0,00000432,false,Rx,0,8,81,17,48,4C,00,0A,01,02,
0,00000532,false,Rx,0,3,72,32,A6,00,00,00,00,00,
0,000005D2,false,Rx,0,2,00,00,00,00,00,00,00,00,
0,00000208,false,Rx,0,8,00,00,32,00,0C,32,32,32,
0,00000468,false,Rx,0,7,00,05,40,C0,00,01,00,00,
0,000002F5,false,Rx,0,7,AB,00,00,FF,F9,00,00,00,
0,00000305,false,Rx,0,7,EB,7F,00,07,1B,00,C0,00,
0,0000030D,false,Rx,0,8,00,00,00,00,00,00,00,00,
0,0000034D,false,Rx,0,8,00,23,FA,FA,00,05,00,FF,
0,000003CD,false,Rx,0,8,FF,FB,00,00,00,22,90,FE,
0,00000552,false,Rx,0,8,08,8F,19,69,02,28,DE,FE,
0,00000452,false,Rx,0,5,00,00,00,03,00,00,00,00,
0,00000208,false,Rx,0,8,00,00,32,00,0C,32,32,32,
0,00000348,false,Rx,0,8,00,32,34,32,C1,01,44,00,
0,00000495,false,Rx,0,3,00,00,20,00,00,00,00,00,
0,00000795,false,Rx,0,6,00,00,00,00,00,00,00,00,
0,000002F5,false,Rx,0,7,9C,00,00,FF,F9,00,00,00,
0,00000305,false,Rx,0,7,EB,7F,00,07,6C,00,C0,00,
0,000003CD,false,Rx,0,8,FF,FB,00,00,00,22,90,FE,
0,0000040D,false,Rx,0,8,00,00,00,00,00,00,00,06,
0,0000044D,false,Rx,0,8,00,00,00,00,00,00,00,00,
0,0000050D,false,Rx,0,8,00,00,00,00,00,64,80,EC,
0,00000412,false,Rx,0,8,18,00,00,00,04,3A,00,00,
0,00000208,false,Rx,0,8,00,00,32,00,0C,32,32,32,
0,000002F5,false,Rx,0,7,7D,00,00,FF,F9,00,10,00,
0,00000305,false,Rx,0,7,EB,7F,00,07,7D,00,C0,00,
0,0000030D,false,Rx,0,8,00,00,00,00,00,00,00,00,
0,0000034D,false,Rx,0,8,00,23,FA,FA,00,06,00,FF,
0,0000038D,false,Rx,0,7,00,00,00,00,AF,B9,37,00,
0,000003CD,false,Rx,0,8,FF,FB,00,00,00,22,90,FE,
0,000004F2,false,Rx,0,8,A1,C8,D9,90,5F,A2,AA,0A,
0,00000208,false,Rx,0,8,00,00,32,00,0C,32,32,32,
0,00000348,false,Rx,0,8,00,32,34,32,C1,01,44,00,
0,000002F5,false,Rx,0,7,7E,00,00,FF,F9,00,00,00,
0,00000305,false,Rx,0,7,EB,7F,00,07,4E,00,C0,00,
0,000003CD,false,Rx,0,8,FF,FA,00,00,00,22,90,FE,
0,0000040D,false,Rx,0,8,00,00,00,00,00,00,00,07,
0,00000208,false,Rx,0,8,00,00,32,00,0C,32,32,32,
0,00000468,false,Rx,0,7,00,05,40,C0,00,01,00,00,
0,000002F5,false,Rx,0,7,6F,00,00,FF,F9,00,00,00,
0,00000305,false,Rx,0,7,EB,7F,00,07,5F,00,C0,00,
0,0000030D,false,Rx,0,8,00,00,00,00,00,00,00,00,
0,0000034D,false,Rx,0,8,00,23,FA,FA,00,07,00,FF,
0,000003CD,false,Rx,0,8,FF,FB,00,00,00,22,90,FE,
0,0000078D,false,Rx,0,8,00,00,00,00,00,00,00,02,
0,00000612,false,Rx,0,8,00,20,01,2D,01,F4,04,10,
0,000003F2,false,Rx,0,3,00,00,00,00,00,00,00,00,
0,00000432,false,Rx,0,8,81,18,48,4C,00,0A,01,02,
0,00000208,false,Rx,0,8,00,00,32,00,0C,32,32,32,
0,00000348,false,Rx,0,8,00,32,34,32,C1,01,44,00,
0,000002F5,false,Rx,0,7,50,00,00,FF,F9,00,00,00,
